Accession	Gene names (PREFERRED)	Gene names (ALTERNATIVE)	Gene names (OLN)	Gene names (OLN)	Entry name	EG	GN	SP	JW	Ori	LeftEnd	RightEnd
P60438	rplC		b3320	JW3282	RL3_ECOLI	EG10866	rplC	P60438	JW3282	Counterclockwise	3450319	3450948
P60723	rplD	eryA	b3319	JW3281	RL4_ECOLI	EG10867	rplD	P60723	JW3281	Counterclockwise	3449703	3450308
P62399	rplE		b3308	JW3270	RL5_ECOLI	EG10868	rplE	P62399	JW3270	Counterclockwise	3444921	3445460
P0AG55	rplF		b3305	JW3267	RL6_ECOLI	EG10869	rplF	P0AG55	JW3267	Counterclockwise	3443629	3444162
P0A7R1	rplI		b4203	JW4161	RL9_ECOLI	EG10870	rplI	P0A7R1	JW4161	Clockwise	4424131	4424580
P0A7J3	rplJ		b3985	JW3948	RL10_ECOLI	EG10871	rplJ	P0A7J3	JW3948	Clockwise	4178019	4178516
P0A7J7	rplK	relC	b3983	JW3946	RL11_ECOLI	EG10872	rplK	P0A7J7	JW3946	Clockwise	4176470	4176898
P0A7K2	rplL		b3986	JW3949	RL7_ECOLI	EG10873	rplL	P0A7K2	JW3949	Clockwise	4178583	4178948
P0AA10	rplM		b3231	JW3200	RL13_ECOLI	EG10874	rplM	P0AA10	JW3200	Counterclockwise	3376245	3376673
P0ADY3	rplN		b3310	JW3272	RL14_ECOLI	EG10875	rplN	P0ADY3	JW3272	Counterclockwise	3445800	3446171
P02413	rplO		b3301	JW3263	RL15_ECOLI	EG10876	rplO	P02413	JW3263	Counterclockwise	3442127	3442561
P0ADY7	rplP		b3313	JW3275	RL16_ECOLI	EG10877	rplP	P0ADY7	JW3275	Counterclockwise	3446781	3447191
P0AG44	rplQ		b3294	JW3256	RL17_ECOLI	EG10878	rplQ	P0AG44	JW3256	Counterclockwise	3437638	3438021
P0C018	rplR		b3304	JW3266	RL18_ECOLI	EG10879	rplR	P0C018	JW3266	Counterclockwise	3443266	3443619
P0A7K6	rplS		b2606	JW2587	RL19_ECOLI	EG10880	rplS	P0A7K6	JW2587	Counterclockwise	2742205	2742552
P0A7L3	rplT	pdzA	b1716	JW1706	RL20_ECOLI	EG10881	rplT	P0A7L3	JW1706	Counterclockwise	1797417	1797773
P61175	rplV	eryB	b3315	JW3277	RL22_ECOLI	EG10882	rplV	P61175	JW3277	Counterclockwise	3447923	3448255
P0ADZ0	rplW		b3318	JW3280	RL23_ECOLI	EG10883	rplW	P0ADZ0	JW3280	Counterclockwise	3449404	3449706
P60624	rplX		b3309	JW3271	RL24_ECOLI	EG10884	rplX	P60624	JW3271	Counterclockwise	3445475	3445789
P68919	rplY		b2185	JW2173	RL25_ECOLI	EG10885	rplY	P68919	JW2173	Clockwise	2280539	2280823
P0A7M2	rpmB		b3637	JW3612	RL28_ECOLI	EG10886	rpmB	P0A7M2	JW3612	Counterclockwise	3809461	3809697
P0A7M6	rpmC		b3312	JW3274	RL29_ECOLI	EG10887	rpmC	P0A7M6	JW3274	Counterclockwise	3446590	3446781
P0AG51	rpmD		b3302	JW3264	RL30_ECOLI	EG10888	rpmD	P0AG51	JW3264	Counterclockwise	3442565	3442744
P0A7M9	rpmE		b3936	JW3907	RL31_ECOLI	EG10889	rpmE	P0A7M9	JW3907	Clockwise	4125036	4125248
P0A7N4	rpmF		b1089	JW1075	RL32_ECOLI	EG10890	rpmF	P0A7N4	JW1075	Clockwise	1146590	1146763
P0A7N9	rpmG		b3636	JW3611	RL33_ECOLI	EG10891	rpmG	P0A7N9	JW3611	Counterclockwise	3809273	3809440
P0A7P5	rpmH	rimA ssaF	b3703	JW3680	RL34_ECOLI	EG10892	rpmH	P0A7P5	JW3680	Clockwise	3882359	3882499
P0A7Z4	rpoA	pez phs sez	b3295	JW3257	RPOA_ECOLI	EG10893	rpoA	P0A7Z4	JW3257	Counterclockwise	3438062	3439051
P0A8V2	rpoB	groN nitB rif ron stl stv tabD	b3987	JW3950	RPOB_ECOLI	EG10894	rpoB	P0A8V2	JW3950	Clockwise	4179268	4183296
P0A8T7	rpoC	tabB	b3988	JW3951	RPOC_ECOLI	EG10895	rpoC	P0A8T7	JW3951	Clockwise	4183373	4187596
P00579	rpoD	alt	b3067	JW3039	RPOD_ECOLI	EG10896	rpoD	P00579	JW3039	Clockwise	3211069	3212910
P0AGB3	rpoH	fam hin htpR	b3461	JW3426	RP32_ECOLI	EG10897	rpoH	P0AGB3	JW3426	Counterclockwise	3597952	3598806
P24255	rpoN	glnF ntrA	b3202	JW3169	RP54_ECOLI	EG10898	rpoN	P24255	JW3169	Clockwise	3342739	3344172
P0A800	rpoZ		b3649	JW3624	RPOZ_ECOLI	EG10899	rpoZ	P0A800	JW3624	Clockwise	3820129	3820404
P0AG67	rpsA	ssyF	b0911	JW0894	RS1_ECOLI	EG10900	rpsA	P0AG67	JW0894	Clockwise	961218	962891
P0A7V0	rpsB		b0169	JW0164	RS2_ECOLI	EG10901	rpsB	P0A7V0	JW0164	Clockwise	189874	190599
P0A7V3	rpsC		b3314	JW3276	RS3_ECOLI	EG10902	rpsC	P0A7V3	JW3276	Counterclockwise	3447204	3447905
P0A7V8	rpsD	ramA	b3296	JW3258	RS4_ECOLI	EG10903	rpsD	P0A7V8	JW3258	Counterclockwise	3439077	3439697
P0A7W1	rpsE	spc	b3303	JW3265	RS5_ECOLI	EG10904	rpsE	P0A7W1	JW3265	Counterclockwise	3442748	3443251
P02358	rpsF		b4200	JW4158	RS6_ECOLI	EG10905	rpsF	P02358	JW4158	Clockwise	4423141	4423536
P02359	rpsG		b3341	JW3303	RS7_ECOLI	EG10906	rpsG	P02359	JW3303	Counterclockwise	3471564	3472103
P0A7W7	rpsH		b3306	JW3268	RS8_ECOLI	EG10907	rpsH	P0A7W7	JW3268	Counterclockwise	3444175	3444567
P0A7X3	rpsI		b3230	JW3199	RS9_ECOLI	EG10908	rpsI	P0A7X3	JW3199	Counterclockwise	3375837	3376229
P0A7R5	rpsJ	nusE	b3321	JW3283	RS10_ECOLI	EG10909	rpsJ	P0A7R5	JW3283	Counterclockwise	3450981	3451292
P0A7R9	rpsK		b3297	JW3259	RS11_ECOLI	EG10910	rpsK	P0A7R9	JW3259	Counterclockwise	3439731	3440120
P0A7S3	rpsL	strA	b3342	JW3304	RS12_ECOLI	EG10911	rpsL	P0A7S3	JW3304	Counterclockwise	3472200	3472574
P0A7S9	rpsM		b3298	JW3260	RS13_ECOLI	EG10912	rpsM	P0A7S9	JW3260	Counterclockwise	3440137	3440493
P0AG59	rpsN		b3307	JW3269	RS14_ECOLI	EG10913	rpsN	P0AG59	JW3269	Counterclockwise	3444601	3444906
P0ADZ4	rpsO	secC	b3165	JW3134	RS15_ECOLI	EG10914	rpsO	P0ADZ4	JW3134	Counterclockwise	3309437	3309706
P0A7T3	rpsP		b2609	JW2590	RS16_ECOLI	EG10915	rpsP	P0A7T3	JW2590	Counterclockwise	2743959	2744207
P0AG63	rpsQ	neaA	b3311	JW3273	RS17_ECOLI	EG10916	rpsQ	P0AG63	JW3273	Counterclockwise	3446336	3446590
P0A7T7	rpsR		b4202	JW4160	RS18_ECOLI	EG10917	rpsR	P0A7T7	JW4160	Clockwise	4423862	4424089
P0A7U3	rpsS		b3316	JW3278	RS19_ECOLI	EG10918	rpsS	P0A7U3	JW3278	Counterclockwise	3448270	3448548
P0A7U7	rpsT		b0023	JW0022	RS20_ECOLI	EG10919	rpsT	P0A7U7	JW0022	Counterclockwise	20815	21078
P68679	rpsU		b3065	JW3037	RS21_ECOLI	EG10920	rpsU	P68679	JW3037	Clockwise	3208803	3209018
P0A998	ftnA	ftn gen-165 rsgA	b1905	JW1893	FTNA_ECOLI	EG10921	ftnA	P0A998	JW1893	Clockwise	1986740	1987237
P0A6I3	coaA	panK rts	b3974	JW3942	COAA_ECOLI	EG10922	coaA	P0A6I3	JW3942	Counterclockwise	4172099	4173049
P0A809	ruvA		b1861	JW1850	RUVA_ECOLI	EG10923	ruvA	P0A809	JW1850	Counterclockwise	1943389	1944000
P0A812	ruvB		b1860	JW1849	RUVB_ECOLI	EG10924	ruvB	P0A812	JW1849	Counterclockwise	1942370	1943380
P0A814	ruvC		b1863	JW1852	RUVC_ECOLI	EG10925	ruvC	P0A814	JW1852	Counterclockwise	1944879	1945400
P04995	sbcB	cpeA xonA	b2011	JW1993	EX1_ECOLI	EG10926	sbcB	P04995	JW1993	Clockwise	2080780	2082207
P13458	sbcC	rmuA	b0397	JW0387	SBCC_ECOLI	EG10927	sbcC	P13458	JW0387	Counterclockwise	411831	414977
P0AFY6	sbmA		b0377	JW0368	SBMA_ECOLI	EG10928	sbmA	P0AFY6	JW0368	Clockwise	395863	397083
P0AG78	sbp		b3917	JW3888	SUBI_ECOLI	EG10929	sbp	P0AG78	JW3888	Clockwise	4106857	4107846
P16095	sdaA		b1814	JW1803	SDHL_ECOLI	EG10930	sdaA	P16095	JW1803	Clockwise	1894956	1896320
P0AC41	sdhA		b0723	JW0713	DHSA_ECOLI	EG10931	sdhA	P0AC41	JW0713	Clockwise	755130	756896
P07014	sdhB		b0724	JW0714	DHSB_ECOLI	EG10932	sdhB	P07014	JW0714	Clockwise	756912	757628
P69054	sdhC	cybA	b0721	JW0711	DHSC_ECOLI	EG10933	sdhC	P69054	JW0711	Clockwise	754400	754789
P0AC44	sdhD		b0722	JW0712	DHSD_ECOLI	EG10934	sdhD	P0AC44	JW0712	Clockwise	754783	755130
P07026	sdiA		b1916	JW1901	SDIA_ECOLI	EG10935	sdiA	P07026	JW1901	Counterclockwise	1994134	1994856
P10408	secA	azi pea prlD	b0098	JW0096	SECA_ECOLI	EG10936	secA	P10408	JW0096	Clockwise	108279	110984
P0AG86	secB		b3609	JW3584	SECB_ECOLI	EG10937	secB	P0AG86	JW3584	Counterclockwise	3781684	3782151
P0AG90	secD		b0408	JW0398	SECD_ECOLI	EG10938	secD	P0AG90	JW0398	Clockwise	426871	428718
P0AG96	secE	prlG	b3981	JW3944	SECE_ECOLI	EG10939	secE	P0AG96	JW3944	Clockwise	4175381	4175764
P0AG93	secF		b0409	JW0399	SECF_ECOLI	EG10940	secF	P0AG93	JW0399	Clockwise	428729	429700
P0A821	selA	fdhA	b3591	JW3564	SELA_ECOLI	EG10941	selA	P0A821	JW3564	Counterclockwise	3757881	3759272
P14081	selB	fdhA	b3590	JW3563	SELB_ECOLI	EG10942	selB	P14081	JW3563	Counterclockwise	3756040	3757884
P16456	selD	fdhB	b1764	JW1753	SELD_ECOLI	EG10943	selD	P16456	JW1753	Counterclockwise	1844989	1846032
P0A9T0	serA		b2913	JW2880	SERA_ECOLI	EG10944	serA	P0A9T0	JW2880	Counterclockwise	3055200	3056432
P0AGB0	serB		b4388	JW4351	SERB_ECOLI	EG10945	serB	P0AGB0	JW4351	Clockwise	4622918	4623886
P23721	serC	pdxC pdxF	b0907	JW0890	SERC_ECOLI	EG10946	serC	P23721	JW0890	Clockwise	956876	957964
P0A8L1	serS		b0893	JW0876	SYS_ECOLI	EG10947	serS	P0A8L1	JW0876	Clockwise	938651	939943
P26616	sfcA	maeA	b1479	JW5238	MAO1_ECOLI	EG10948	maeA	P26616	JW5238	Counterclockwise	1551996	1553693
P0A823	sfsA	sfs1	b0146	JW0142	SFSA_ECOLI	EG10949	sfsA	P0A823	JW0142	Counterclockwise	160782	161486
P0AGC3	slt	sltY	b4392	JW4355	SLT_ECOLI	EG10950	slt	P0AGC3	JW4355	Clockwise	4628756	4630693
P0AGC7	smp	ytjB	b4387	JW4350	SMP_ECOLI	EG10951	ytjB	P0AGC7	JW4350	Counterclockwise	4622168	4622812
P0A937	smpA		b2617	JW2598	SMPA_ECOLI	EG10952	bamE	P0A937	JW2598	Clockwise	2751627	2751968
P00448	sodA		b3908	JW3879	SODM_ECOLI	EG10953	sodA	P00448	JW3879	Clockwise	4098833	4099453
P0AGD3	sodB		b1656	JW1648	SODF_ECOLI	EG10954	sodB	P0AGD3	JW1648	Clockwise	1733402	1733983
P15373	sohA	prlF	b3129	JW3098	SOHA_ECOLI	EG10955	sohA	P15373	JW3098	Clockwise	3275024	3275359
P0AG14	sohB		b1272	JW1264	SOHB_ECOLI	EG10956	sohB	P0AG14	JW1264	Clockwise	1327356	1328405
P0ACS2	soxR	marC	b4063	JW4024	SOXR_ECOLI	EG10957	soxR	P0ACS2	JW4024	Clockwise	4275492	4275956
P0A9E2	soxS		b4062	JW4023	SOXS_ECOLI	EG10958	soxS	P0A9E2	JW4023	Counterclockwise	4275083	4275406
P21170	speA		b2938	JW2905	SPEA_ECOLI	EG10959	speA	P21170	JW2905	Counterclockwise	3081957	3083933
P60651	speB		b2937	JW2904	SPEB_ECOLI	EG10960	speB	P60651	JW2904	Counterclockwise	3080899	3081819
P21169	speC		b2965	JW5482	DCOR_ECOLI	EG10961	speC	P21169	JW5482	Counterclockwise	3105042	3107177
P0A7F6	speD		b0120	JW0116	SPED_ECOLI	EG10962	speD	P0A7F6	JW0116	Counterclockwise	134788	135582
P09158	speE		b0121	JW0117	SPEE_ECOLI	EG10963	speE	P09158	JW0117	Counterclockwise	135598	136464
P24169	speF		b0693	JW0680	DCOS_ECOLI	EG10964	speF	P24169	JW0680	Counterclockwise	717485	719683
P60546	gmk	spoR	b3648	JW3623	KGUA_ECOLI	EG10965	gmk	P60546	JW3623	Clockwise	3819451	3820074
P0AG24	spoT		b3650	JW3625	SPOT_ECOLI	EG10966	spoT	P0AG24	JW3625	Clockwise	3820423	3822531
P0AGJ2	trmH	spoU	b3651	JW3626	TRMH_ECOLI	EG10967	trmH	P0AGJ2	JW3626	Clockwise	3822538	3823227
P08395	sppA		b1766	JW1755	SPPA_ECOLI	EG10968	sppA	P08395	JW1755	Clockwise	1846861	1848717
P56579	srlA	gutA sbl	b2702	JW5429	PTHC_ECOLI	EG10969	srlA	P56579	JW5429	Clockwise	2823854	2824417
P05706	srlB	gutB	b2704	JW2673	PTHA_ECOLI	EG10970	srlB	P05706	JW2673	Clockwise	2825384	2825755
P05707	srlD	gutD	b2705	JW2674	SRLD_ECOLI	EG10971	srlD	P05707	JW2674	Clockwise	2825759	2826538
P15081	gutM	srlM	b2706	JW2675	GUTM_ECOLI	EG10972	gutM	P15081	JW2675	Clockwise	2826643	2827002
P17115	gutQ	srlQ	b2708	JW5431	GUTQ_ECOLI	EG10973	gutQ	P17115	JW5431	Clockwise	2827835	2828800
P15082	srlR	gutR	b2707	JW2676	SRLR_ECOLI	EG10974	srlR	P15082	JW2676	Clockwise	2827069	2827842
P21507	srmB	rbaB	b2576	JW2560	SRMB_ECOLI	EG10975	srmB	P21507	JW2560	Clockwise	2710918	2712252
P0AGE0	ssb	exrB lexC	b4059	JW4020	SSB_ECOLI	EG10976	ssb	P0AGE0	JW4020	Clockwise	4272148	4272684
P0ACA3	sspA	pog ssp	b3229	JW3198	SSPA_ECOLI	EG10977	sspA	P0ACA3	JW3198	Counterclockwise	3374804	3375442
P0AFZ3	sspB		b3228	JW3197	SSPB_ECOLI	EG10978	sspB	P0AFZ3	JW3197	Counterclockwise	3374301	3374798
P0AFG3	sucA		b0726	JW0715	ODO1_ECOLI	EG10979	sucA	P0AFG3	JW0715	Clockwise	757929	760730
P0AFG6	sucB		b0727	JW0716	ODO2_ECOLI	EG10980	sucB	P0AFG6	JW0716	Clockwise	760745	761962
P0A836	sucC		b0728	JW0717	SUCC_ECOLI	EG10981	sucC	P0A836	JW0717	Clockwise	762237	763403
P0AGE9	sucD		b0729	JW0718	SUCD_ECOLI	EG10982	sucD	P0AGE9	JW0718	Clockwise	763403	764272
P0ADG4	suhB	ssyA	b2533	JW2517	SUHB_ECOLI	EG10983	suhB	P0ADG4	JW2517	Clockwise	2661464	2662267
P0AFZ5	sulA	sfiA	b0958	JW0941	SULA_ECOLI	EG10984	sulA	P0AFZ5	JW0941	Counterclockwise	1019633	1020142
P0ABZ6	surA		b0053	JW0052	SURA_ECOLI	EG10985	surA	P0ABZ6	JW0052	Counterclockwise	53416	54702
P05100	tag		b3549	JW3518	3MG1_ECOLI	EG10986	tag	P05100	JW3518	Clockwise	3711115	3711678
P07018	tap		b1885	JW1874	MCP4_ECOLI	EG10987	tap	P07018	JW1874	Counterclockwise	1967407	1969008
P07017	tar	cheM	b1886	JW1875	MCP2_ECOLI	EG10988	tar	P07017	JW1875	Counterclockwise	1969054	1970715
P0ACQ7	tdcA		b3118	JW3089	TDCA_ECOLI	EG10989	tdcA	P0ACQ7	JW3089	Counterclockwise	3264149	3265087
P0AGF6	tdcB		b3117	JW3088	THD2_ECOLI	EG10990	tdcB	P0AGF6	JW3088	Counterclockwise	3263061	3264050
P0AAD8	tdcC		b3116	JW3087	TDCC_ECOLI	EG10991	tdcC	P0AAD8	JW3087	Counterclockwise	3261708	3263039
P11866	tdcR		b3119	JW5525	TDCR_ECOLI	EG10992	tdcR	P11866	JW5525	Clockwise	3265402	3265620
P07913	tdh		b3616	JW3591	TDH_ECOLI	EG10993	tdh	P07913	JW3591	Counterclockwise	3788343	3789368
P23331	tdk		b1238	JW1226	KITH_ECOLI	EG10994	tdk	P23331	JW1226	Clockwise	1292750	1293367
P0AGG2	tesB		b0452	JW0442	TESB_ECOLI	EG10995	tesB	P0AGG2	JW0442	Counterclockwise	473525	474385
P0A847	tgt		b0406	JW0396	TGT_ECOLI	EG10996	tgt	P0A847	JW0396	Clockwise	425361	426488
P25522	mnmE	thdF trmE	b3706	JW3684	MNME_ECOLI	EG10997	mnmE	P25522	JW3684	Clockwise	3884851	3886215
P00561	thrA	thrA1 thrA2	b0002	JW0001	AK1H_ECOLI	EG10998	thrA	P00561	JW0001	Clockwise	337	2799
P00547	thrB		b0003	JW0002	KHSE_ECOLI	EG10999	thrB	P00547	JW0002	Clockwise	2801	3733
P00934	thrC		b0004	JW0003	THRC_ECOLI	EG11000	thrC	P00934	JW0003	Clockwise	3734	5020
P0A8M3	thrS		b1719	JW1709	SYT_ECOLI	EG11001	thrS	P0A8M3	JW1709	Counterclockwise	1798666	1800594
P0A884	thyA		b2827	JW2795	TYSY_ECOLI	EG11002	thyA	P0A884	JW2795	Counterclockwise	2962383	2963177
P0A850	tig		b0436	JW0426	TIG_ECOLI	EG11003	tig	P0A850	JW0426	Clockwise	454357	455655
P24555	ptrB	tlp	b1845	JW1834	PTRB_ECOLI	EG11004	ptrB	P24555	JW1834	Counterclockwise	1924803	1926863
P0A853	tnaA	ind	b3708	JW3686	TNAA_ECOLI	EG11005	tnaA	P0A853	JW3686	Clockwise	3886753	3888168
P23173	tnaB	trpP	b3709	JW5619 JW5622	TNAB_ECOLI	EG11006	tnaB	P23173	"JW5619;JW5622"	Clockwise	3888259	3889506
P19934	tolA	cim excC lky	b0739	JW0729	TOLA_ECOLI	EG11007	tolA	P19934	JW0729	Clockwise	775565	776830
P0A855	tolB		b0740	JW5100	TOLB_ECOLI	EG11008	tolB	P0A855	JW5100	Clockwise	776963	778255
P02930	tolC	mtcB mukA refI	b3035	JW5503	TOLC_ECOLI	EG11009	tolC	P02930	JW5503	Clockwise	3176137	3177618
P0ABU9	tolQ	fii	b0737	JW0727	TOLQ_ECOLI	EG11010	tolQ	P0ABU9	JW0727	Clockwise	774376	775068
P0ABV6	tolR		b0738	JW0728	TOLR_ECOLI	EG11011	tolR	P0ABV6	JW0728	Clockwise	775072	775500
P02929	tonB	exbA	b1252	JW5195	TONB_ECOLI	EG11012	tonB	P02929	JW5195	Clockwise	1309113	1309832
P06612	topA	supX	b1274	JW1266	TOP1_ECOLI	EG11013	topA	P06612	JW1266	Clockwise	1329072	1331669
P14294	topB		b1763	JW1752	TOP3_ECOLI	EG11014	topB	P14294	JW1752	Counterclockwise	1843023	1844984
P0A858	tpiA	tpi	b3919	JW3890	TPIS_ECOLI	EG11015	tpiA	P0A858	JW3890	Counterclockwise	4108763	4109530
P02338	tpr		b1229	JW1219	PRTL_ECOLI	EG11016	tpr	P02338	JW1219	Counterclockwise	1286310	1286399
P13482	treA	osmA	b1197	JW1186	TREA_ECOLI	EG11017	treA	P13482	JW1186	Counterclockwise	1244902	1246599
P05704	trg		b1421	JW1417	MCP3_ECOLI	EG11018	trg	P05704	JW1417	Clockwise	1490494	1492134
P0AGI8	trkA		b3290	JW3251	TRKA_ECOLI	EG11019	trkA	P0AGI8	JW3251	Clockwise	3434540	3435916
P23849	trkG		b1363	JW1358	TRKG_ECOLI	EG11020	trkG	P23849	JW1358	Clockwise	1421806	1423263
P0AFZ7	trkH		b3849	JW5576	TRKH_ECOLI	EG11021	trkH	P0AFZ7	JW5576	Clockwise	4031168	4032619
P23003	trmA		b3965	JW3937	TRMA_ECOLI	EG11022	trmA	P23003	JW3937	Counterclockwise	4160193	4161293
P0A873	trmD		b2607	JW2588	TRMD_ECOLI	EG11023	trmD	P0A873	JW2588	Counterclockwise	2742594	2743361
P0A877	trpA		b1260	JW1252	TRPA_ECOLI	EG11024	trpA	P0A877	JW1252	Counterclockwise	1314440	1315246
P0A879	trpB		b1261	JW1253	TRPB_ECOLI	EG11025	trpB	P0A879	JW1253	Counterclockwise	1315246	1316439
P00909	trpC		b1262	JW1254	TRPC_ECOLI	EG11026	trpC	P00909	JW1254	Counterclockwise	1316451	1317809
P00904	trpD	trpGD	b1263	JW1255	TRPG_ECOLI	EG11027	trpD	P00904	JW1255	Counterclockwise	1317813	1319408
P00895	trpE		b1264	JW1256	TRPE_ECOLI	EG11028	trpE	P00895	JW1256	Counterclockwise	1319408	1320970
P0A881	trpR	rtrY	b4393	JW4356	TRPR_ECOLI	EG11029	trpR	P0A881	JW4356	Clockwise	4630783	4631109
P00954	trpS		b3384	JW3347	SYW_ECOLI	EG11030	trpS	P00954	JW3347	Counterclockwise	3510656	3511660
P0AA25	trxA	fipA tsnC	b3781	JW5856	THIO_ECOLI	EG11031	trxA	P0AA25	JW5856	Clockwise	3963784	3964113
P0A9P4	trxB		b0888	JW0871	TRXB_ECOLI	EG11032	trxB	P0A9P4	JW0871	Counterclockwise	930308	931273
P0A6P1	tsf		b0170	JW0165	EFTS_ECOLI	EG11033	tsf	P0A6P1	JW0165	Clockwise	190857	191708
P02942	tsr	cheD	b4355	JW4318	MCP1_ECOLI	EG11034	tsr	P02942	JW4318	Clockwise	4589680	4591335
P0A927	tsx	nupA	b0411	JW0401	TSX_ECOLI	EG11035	tsx	P0A927	JW0401	Counterclockwise	430353	431237
P0CE47	tufA		b3339	JW3301	EFTU1_ECOLI	EG11036	tufA	P0A6N1	JW3301	Counterclockwise	3468167	3469351
P0CE48	tufB		b3980	JW3943	EFTU2_ECOLI	EG11037	tufB	P0A6N1	JW3943	Clockwise	4173967	4175151
P16525	tus	tau	b1610	JW1602	TUS_ECOLI	EG11038	tus	P16525	JW1602	Clockwise	1682283	1683212
P07023	tyrA		b2600	JW2581	TYRA_ECOLI	EG11039	tyrA	P07023	JW2581	Counterclockwise	2736970	2738091
P04693	tyrB		b4054	JW4014	TYRB_ECOLI	EG11040	tyrB	P04693	JW4014	Clockwise	4265137	4266330
P0AAD4	tyrP		b1907	JW1895	TYRP_ECOLI	EG11041	tyrP	P0AAD4	JW1895	Clockwise	1987705	1988916
P07604	tyrR		b1323	JW1316	TYRR_ECOLI	EG11042	tyrR	P07604	JW1316	Clockwise	1384744	1386285
P0AGJ9	tyrS		b1637	JW1629	SYY_ECOLI	EG11043	tyrS	P0AGJ9	JW1629	Counterclockwise	1713972	1715246
P0AG03	ubiX	dedF	b2311	JW2308	UBIX_ECOLI	EG11044	ubiX	P0AG03	JW2308	Counterclockwise	2426079	2426648
P12758	udp		b3831	JW3808	UDP_ECOLI	EG11045	udp	P12758	JW3808	Clockwise	4014454	4015215
P10905	ugpA		b3452	JW3417	UGPA_ECOLI	EG11046	ugpA	P10905	JW3417	Counterclockwise	3588047	3588934
P0AG80	ugpB		b3453	JW3418	UGPB_ECOLI	EG11047	ugpB	P0AG80	JW3418	Counterclockwise	3589032	3590348
P10907	ugpC		b3450	JW3415	UGPC_ECOLI	EG11048	ugpC	P10907	JW3415	Counterclockwise	3586133	3587203
P10906	ugpE		b3451	JW3416	UGPE_ECOLI	EG11049	ugpE	P10906	JW3416	Counterclockwise	3587205	3588050
P10908	ugpQ		b3449	JW3414	UGPQ_ECOLI	EG11050	ugpQ	P10908	JW3414	Counterclockwise	3585393	3586136
P0AGA6	uhpA		b3669	JW3644	UHPA_ECOLI	EG11051	uhpA	P0AGA6	JW3644	Counterclockwise	3848159	3848749
P09835	uhpB		b3668	JW3643	UHPB_ECOLI	EG11052	uhpB	P09835	JW3643	Counterclockwise	3846657	3848159
P09836	uhpC		b3667	JW3642	UHPC_ECOLI	EG11053	uhpC	P09836	JW3642	Counterclockwise	3845328	3846647
P0AGC0	uhpT		b3666	JW3641	UHPT_ECOLI	EG11054	uhpT	P0AGC0	JW3641	Counterclockwise	3843799	3845190
P05804	uidA	gurA gusA	b1617	JW1609	BGLR_ECOLI	EG11055	uidA	P05804	JW1609	Counterclockwise	1692284	1694095
P04152	umuC		b1184	JW1173	UMUC_ECOLI	EG11056	umuC	P04152	JW1173	Clockwise	1230409	1231677
P0AG11	umuD		b1183	JW1172	UMUD_ECOLI	EG11057	umuD	P0AG11	JW1172	Clockwise	1229990	1230409
P12295	ung		b2580	JW2564	UNG_ECOLI	EG11058	ung	P12295	JW2564	Clockwise	2714776	2715465
P08390	usg		b2319	JW2316	USG_ECOLI	EG11059	usg	P08390	JW2316	Counterclockwise	2433658	2434671
P07024	ushA		b0480	JW0469	USHA_ECOLI	EG11060	ushA	P07024	JW0469	Clockwise	504138	505790
P0A698	uvrA	dinE	b4058	JW4019	UVRA_ECOLI	EG11061	uvrA	P0A698	JW4019	Counterclockwise	4269072	4271894
P0A8F8	uvrB		b0779	JW0762	UVRB_ECOLI	EG11062	uvrB	P0A8F8	JW0762	Clockwise	812749	814770
P0A8G0	uvrC		b1913	JW1898	UVRC_ECOLI	EG11063	uvrC	P0A8G0	JW1898	Counterclockwise	1990898	1992730
P03018	uvrD	mutU pdeB rad recL	b3813	JW3786	UVRD_ECOLI	EG11064	uvrD	P03018	JW3786	Clockwise	3996006	3998168
P0A6L7	uxaB		b1521	JW1514	UXAB_ECOLI	EG11065	uxaB	P0A6L7	JW1514	Counterclockwise	1607253	1608704
P24215	uxuA		b4322	JW4285	UXUA_ECOLI	EG11066	uxuA	P24215	JW4285	Clockwise	4549659	4550843
P07118	valS		b4258	JW4215	SYV_ECOLI	EG11067	valS	P07118	JW4215	Counterclockwise	4479005	4481860
P09184	vsr		b1960	JW1943	VSR_ECOLI	EG11068	vsr	P09184	JW1943	Counterclockwise	2028472	2028942
P0A8P6	xerC		b3811	JW3784	XERC_ECOLI	EG11069	xerC	P0A8P6	JW3784	Clockwise	3994310	3995206
P0AEG6	dsbC	xprA	b2893	JW2861	DSBC_ECOLI	EG11070	dsbC	P0AEG6	JW2861	Counterclockwise	3036134	3036844
P0A8P8	xerD	xprB	b2894	JW2862	XERD_ECOLI	EG11071	xerD	P0A8P8	JW2862	Counterclockwise	3036869	3037765
P04994	xseA		b2509	JW2493	EX7L_ECOLI	EG11072	xseA	P04994	JW2493	Clockwise	2632254	2633624
P09030	xthA	xth	b1749	JW1738	EX3_ECOLI	EG11073	xthA	P09030	JW1738	Clockwise	1830452	1831258
P00944	xylA		b3565	JW3537	XYLA_ECOLI	EG11074	xylA	P00944	JW3537	Counterclockwise	3727466	3728788
P09099	xylB		b3564	JW3536	XYLB_ECOLI	EG11075	xylB	P09099	JW3536	Counterclockwise	3725940	3727394
P0AGF4	xylE		b4031	JW3991	XYLE_ECOLI	EG11076	xylE	P0AGF4	JW3991	Counterclockwise	4238802	4240277
P0A9G2	nhaR	antO	b0020	JW0019	NHAR_ECOLI	EG11078	nhaR	P0A9G2	JW0019	Clockwise	18715	19620
