Accession	Molecular Function(EcoCyc)
C4ZTC8	nucleotide binding|ATP binding
C5A0R2	DNA binding
P0ABH7	transferase activity|citrate (Si)-synthase activity|catalytic activity
C4ZZT2	phosphopyruvate hydratase activity|lyase activity|metal ion binding
Q46807	transferase activity|kinase activity
B1XB00	iron-sulfur cluster binding|metal ion binding
P0ABI8	oxidoreductase activity|metal ion binding
B1X9S9	DNA binding|nucleotide binding|ATP binding
B1XGY8	hydrolase activity|metallopeptidase activity|peptidase activity|ATPase activity|nucleotide binding|metal ion binding|ATP binding
C4ZVP1	transferase activity
P36667	transferase activity, transferring glycosyl groups|transferase activity
P39830	antiporter activity
P0CE53	DNA binding
B1X8C5	isomerase activity|DNA topoisomerase activity|nucleotide binding|ATP binding
C4ZVT5	DNA binding
P30855	transferase activity|protein histidine kinase activity|nucleotide binding|kinase activity|ATP binding
B1X7M9	oxidoreductase activity
P75895	hydrolase activity
C4ZXB7	ferredoxin-NAD+ reductase activity|oxidoreductase activity
P39160	oxidoreductase activity|fructuronate reductase activity
C4ZRV3	aminopeptidase activity
P0A9P0	dihydrolipoyl dehydrogenase activity|oxidoreductase activity
P0A7T7	RNA binding|rRNA binding
C4ZXL3	transferase activity
C4ZXM2	kinase activity
P26602	lyase activity|chorismate lyase activity
C4ZXE2	oxidoreductase activity|hydroxypyruvate reductase activity|glyoxylate reductase (NADP) activity
B1XEJ7	ligase activity
C4ZTM7	antiporter activity
P69405	DNA binding
C4ZZK1	exonuclease activity
C4ZQ34	3-phosphoshikimate 1-carboxyvinyltransferase activity|transferase activity
C4ZSS5	RNA binding|rRNA binding
P15042	DNA ligase (NAD+) activity|metal ion binding|ligase activity
B1XBQ0	sigma factor activity|DNA binding
B1XBH2	endonuclease activity
C4ZTR8	iron-sulfur cluster binding|oxidoreductase activity|metal ion binding
P39353	oxidoreductase activity
C4ZWK3	succinate-CoA ligase (ADP-forming) activity|nucleotide binding|ligase activity|ATP binding
P10371	isomerase activity|1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity
B1XCM4	RNA binding
P32695	oxidoreductase activity
P27836	transferase activity, transferring glycosyl groups|transferase activity
P32173	GTP binding|nucleotide binding
B1XCU1	isomerase activity|pyridoxal phosphate binding|alanine racemase activity
B1XA43	RNA binding|tRNA binding|transferase activity|nucleotide binding|ATP binding
C4ZT56	GTP binding|nucleotide binding
P39349	transferase activity
B1X7Y0	carboxypeptidase activity
B1XAT1	lyase activity
B1XET8	DNA binding
B1X8X5	lyase activity|metal ion binding
B1XEM0	hydrolase activity
P0A944	ribosomal-protein-alanine N-acetyltransferase activity|transferase activity|acyltransferase activity
P0CE63	DNA binding
C4ZTA8	DNA binding
B1XB52	DNA binding
P14377	transferase activity|protein histidine kinase activity|nucleotide binding|kinase activity|ATP binding
P30748	nucleotide binding
P0A862	oxidoreductase activity|peroxidase activity|antioxidant activity
B1XGN1	DNA binding
B1XD70	hydrolase activity
C4ZQG0	arginine-tRNA ligase activity|nucleotide binding|aminoacyl-tRNA ligase activity|ligase activity|ATP binding
B1X8V2	oxidoreductase activity
C4ZV08	DNA binding
B1XB49	lyase activity
B1X8U4	DNA binding
P26616	oxidoreductase activity|malate dehydrogenase (oxaloacetate-decarboxylating) activity|metal ion binding
P34211	hydrolase activity
P42904	transferase activity|protein-N(PI)-phosphohistidine-sugar phosphotransferase activity|kinase activity
C4ZSB4	lyase activity
B1XG35	isomerase activity|DNA topoisomerase activity|nucleotide binding|ATP binding
B1XB97	nucleotide binding|ATP binding
C4ZRG9	methyltransferase activity|transferase activity
C5A181	nucleotide binding|ATP binding
C4ZQ11	transferase activity|leucyltransferase activity|acyltransferase activity
C4ZTY7	nucleotide binding|ATP binding
P37679	L-ribulose-5-phosphate 3-epimerase activity|isomerase activity
P77425	hydrolase activity|metal ion binding
C4ZTP0	kinase activity
C4ZSB8	oxidoreductase activity|phosphogluconate dehydrogenase (decarboxylating) activity
C4ZZG4	hydrolase activity
C5A037	transferase activity|nucleotide binding|kinase activity|ATP binding
B1XDF9	transferase activity|acyltransferase activity
P10151	DNA binding
C4ZQ29	lyase activity
C4ZYS9	nucleotide binding|ATP binding
B1XB27	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen|oxidoreductase activity|oxygen transporter activity|nitric oxide dioxygenase activity
P33898	oxidoreductase activity|glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity
P33013	hydrolase activity|peptidase activity|serine-type D-Ala-D-Ala carboxypeptidase activity|carboxypeptidase activity
P32166	transferase activity
B1XCZ6	DNA binding
C4ZRU3	hydrolase activity
C4ZX55	peroxidase activity
P78055	lyase activity
B1X6V7	oxidoreductase activity|histidinol dehydrogenase activity|metal ion binding
B1X654	metal ion binding
P22523	DNA binding|nucleotide binding|ATP binding
P0AGB3	sigma factor activity|DNA binding
C4ZZR8	sulfite reductase (NADPH) activity|oxidoreductase activity
C4ZYU1	RNA binding
D0VEX1	transferase activity
B1XC72	GTP binding|nucleotide binding
C4ZU29	helicase activity|nucleotide binding|ATP binding
B1XFV0	oxidoreductase activity|pyridoxamine-phosphate oxidase activity
B1X7A6	8-amino-7-oxononanoate synthase activity|transferase activity
C4ZSY1	DNA binding
P0AFY8	DNA binding
B1XFJ9	DNA binding|nucleotide binding|metal ion binding|ATP binding
P11290	transferase activity, transferring glycosyl groups|transferase activity
B1XE75	nucleotide binding|ATP binding
C4ZXS9	transferase activity|UDP-glucose:hexose-1-phosphate uridylyltransferase activity|metal ion binding|nucleotidyltransferase activity
C4ZSS9	DNA binding
P0A7M9	RNA binding|rRNA binding|metal ion binding
P77721	DNA binding
B1XC39	transferase activity
C4ZQT8	isomerase activity|DNA topoisomerase activity
C4ZRI5	UDP-N-acetyl-D-glucosamine:N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine-diphosphoundecaprenol 4-beta-N-acetylglucosaminlytransferase activity|transferase activity, transferring glycosyl groups|transferase activity|undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase activity
C4ZR48	transferase activity|nucleotide binding|tRNA dimethylallyltransferase activity|ATP binding
B1XBT5	NAD+ kinase activity|transferase activity|nucleotide binding|kinase activity|ATP binding
P39173	isomerase activity|glucose-6-phosphate 1-epimerase activity
B1XFS0	DNA binding
P26458	oxidoreductase activity|metal ion binding
B1X8Z0	oxidoreductase activity
P35340	oxidoreductase activity
C4ZXK9	transferase activity
P00816	lyase activity|cyanate hydratase activity
P52102	4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|metal ion binding
B1XDS2	transferase activity|nucleotide binding|tRNA dimethylallyltransferase activity|ATP binding
B1XAQ1	glutamyl-tRNA reductase activity|oxidoreductase activity
C4ZUB0	transferase activity|acyltransferase activity
Q46861	4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|metal ion binding
B1XHH9	transferase activity
B1XHK9	L-malate dehydrogenase activity|oxidoreductase activity
B1XFW3	exoribonuclease activity, producing 5'-phosphomonoesters|hydrolase activity|exonuclease activity|nuclease activity
C5A0U7	hydrolase activity|phosphoribosylaminoimidazolecarboxamide formyltransferase activity|transferase activity|catalytic activity|IMP cyclohydrolase activity
P11551	symporter activity
C4ZVZ0	transferase activity
P24169	ornithine decarboxylase activity|lyase activity|carboxy-lyase activity
C4ZWU8	DNA binding
B1XFY2	4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|metal ion binding
B1XBG1	hydro-lyase activity
B1X9P2	DNA binding
C4ZY57	DNA binding
P31069	ion channel activity
B1XCX9	kinase activity
C4ZZQ6	sulfate adenylyltransferase (ATP) activity|transferase activity|nucleotide binding|nucleotidyltransferase activity|ATP binding
P0AC16	dihydroneopterin aldolase activity|lyase activity
A4UR84	DNA binding
B1XA29	N-acetylglucosamine kinase activity|transferase activity|nucleotide binding|kinase activity|metal ion binding|ATP binding
C4ZRA3	nucleotide binding|ATP binding
P33937	nitrate reductase activity|4 iron, 4 sulfur cluster binding|oxidoreductase activity|iron-sulfur cluster binding|metal ion binding
C4ZR80	RNA binding|rRNA binding
P15640	phosphoribosylamine-glycine ligase activity|nucleotide binding|metal ion binding|ATP binding|ligase activity
C4ZWQ2	nucleotide binding|ATP binding
B1X8J1	oxidoreductase activity|3-dehydro-L-gulonate 2-dehydrogenase activity
C4ZU87	lyase activity|aldehyde-lyase activity|metal ion binding
P0CE47	GTP binding|translation elongation factor activity|nucleotide binding
P71239	transferase activity
P36649	oxidoreductase activity|metal ion binding
C4ZRH3	isomerase activity|racemase and epimerase activity, acting on carbohydrates and derivatives
C4ZUZ5	hydrolase activity|endonuclease activity|nuclease activity|crossover junction endodeoxyribonuclease activity
P0CF64	DNA binding
C4ZT83	DNA binding
C4ZW99	kinase activity
B1XDX5	hydrolase activity|inorganic diphosphatase activity|magnesium ion binding|metal ion binding
P04425	glutathione synthase activity|nucleotide binding|metal ion binding|ATP binding|ligase activity
C4ZXC2	nucleotide binding|ATP binding
P04335	hydrolase activity|carboxylesterase activity
B1XB15	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen|iron-sulfur cluster binding|2 iron, 2 sulfur cluster binding|3-phenylpropionate dioxygenase activity|metal ion binding
C4ZQD6	oxidoreductase activity
B1XBB8	transferase activity
B1X817	hydrolase activity
P0AG30	hydrolase activity|RNA binding|helicase activity|nucleotide binding|ATP binding
P64530	DNA binding
C4ZZY9	acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase activity|transferase activity|catalytic activity|nucleotide binding|ligase activity|acyltransferase activity|ATP binding|long-chain fatty acid [acyl-carrier-protein] ligase activity
P0A9P6	hydrolase activity|RNA binding|helicase activity|nucleotide binding|ATP binding
B1X8G5	transferase activity|acyltransferase activity
C4ZZ75	hydrolase activity
B1XDY2	hydrolase activity|carboxylesterase activity
C4ZY12	DNA binding
P0A955	lyase activity|4-hydroxy-2-oxoglutarate aldolase activity|catalytic activity|2-dehydro-3-deoxy-phosphogluconate aldolase activity
C4ZYJ8	methyltransferase activity|tRNA (adenine-N6-)-methyltransferase activity|transferase activity
C4ZXA7	methyltransferase activity|transferase activity
P0AFI0	lyase activity|carboxy-lyase activity|oxalyl-CoA decarboxylase activity
P0AF63	iron-sulfur cluster binding|2 iron, 2 sulfur cluster binding|DNA binding|metal ion binding
B1X9W0	hydrolase activity|nucleotide binding|ATP binding
P25516	4 iron, 4 sulfur cluster binding|aconitate hydratase activity|citrate hydro-lyase (cis-aconitate-forming) activity|lyase activity|iron-sulfur cluster binding|isocitrate hydro-lyase (cis-aconitate-forming) activity|metal ion binding
P69228	DNA binding
C5A157	DNA binding
P17444	oxidoreductase activity|choline dehydrogenase activity
B1XCV5	acetate-CoA ligase activity|nucleotide binding|ligase activity|ATP binding
P0ACR0	DNA binding
C4ZR95	oxidoreductase activity|peptide-methionine-(S)-S-oxide reductase activity
B1XC14	lyase activity
B1XAZ2	rRNA (adenine-C2-)-methyltransferase activity|4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|methyltransferase activity|transferase activity|metal ion binding
C4ZVW9	phosphorylase activity|transferase activity, transferring glycosyl groups|transferase activity
B1XCA8	pantoate-beta-alanine ligase activity|nucleotide binding|ligase activity|ATP binding
P0AEW1	oxidoreductase activity
B1XFV4	DNA binding
P05052	DNA binding
B1XGX7	RNA binding|rRNA binding
P0A840	hydrolase activity|3'-nucleotidase activity|5'-nucleotidase activity|exopolyphosphatase activity|nucleotide binding|catalytic activity|metal ion binding
C4ZPV3	hydrolase activity|peptidase activity|aspartic-type endopeptidase activity
P0ACP5	DNA binding
P77608	lyase activity|2-oxopent-4-enoate hydratase activity
B1X7E5	hydrolase activity
B1X913	transferase activity
P0A800	DNA-directed RNA polymerase activity|transferase activity|nucleotidyltransferase activity
C5A1B9	transferase activity|acyltransferase activity
P24240	hydrolase activity|hydrolase activity, acting on glycosyl bonds|6-phospho-beta-glucosidase activity
B1XD48	transferase activity, transferring acyl groups other than amino-acyl groups|transferase activity|acyltransferase activity
B1X9W8	methyltransferase activity|transferase activity
C5A0H3	hydrolase activity|hydrolase activity, acting on glycosyl bonds
C5A002	hydrolase activity
P0AEL0	metal ion binding
B1XDB4	DNA binding
B1X9Z7	hydrolase activity|RNA binding|helicase activity|nucleotide binding|ATP binding
P77318	hydrolase activity|metal ion binding
C4ZY91	4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|2 iron, 2 sulfur cluster binding|metal ion binding
C4ZQ74	methyltransferase activity|RNA binding|transferase activity|rRNA (guanine-N2-)-methyltransferase activity
P0AGK1	transferase activity
B1XE90	DNA binding
P0CF81	DNA binding
P02358	RNA binding|rRNA binding
B1X8T2	oxidoreductase activity
B1X6A8	mannosyl-3-phosphoglycerate phosphatase activity|hydrolase activity
P39404	DNA binding
C4ZXW8	DNA binding
C4ZQ07	nucleotide binding|ligase activity|ATP binding
C5A0R6	isomerase activity|glutamate racemase activity
P04995	hydrolase activity|exodeoxyribonuclease I activity|exonuclease activity|nuclease activity
P0A8V6	DNA binding
C4ZQ36	cytidylate kinase activity|transferase activity|nucleotide binding|kinase activity|ATP binding
P75920	transferase activity|acyltransferase activity
P68767	hydrolase activity|peptidase activity|aminopeptidase activity|metal ion binding
B1XAP2	DNA binding|nucleotide binding|ATP binding
B1X6I9	GTP binding|translation elongation factor activity|nucleotide binding
C4ZTN8	hydrolase activity|alpha,alpha-trehalase activity|hydrolase activity, acting on glycosyl bonds
P77570	transferase activity|phosphotransferase activity, alcohol group as acceptor|kinase activity|nucleotide binding|ATP binding
B1XAS9	DNA binding
C4ZS57	hydrolase activity|nucleotide binding|ATP binding
B1XA77	isomerase activity|pyridoxal phosphate binding|alanine racemase activity
C4ZX63	4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|metal ion binding
P0AEZ1	methylenetetrahydrofolate reductase (NADPH) activity|oxidoreductase activity
P0AA43	isomerase activity|RNA binding
C4ZPU1	metal ion binding
B1XGK5	hydrolase activity|succinylglutamate desuccinylase activity|metal ion binding
B1X878	nucleotide binding|ATP binding
P77171	DNA binding
P0A894	GTP binding|nucleotide binding|ATP binding
B1XEY7	DNA binding
P30864	DNA binding
P0A8T1	methyltransferase activity|transferase activity
B1X8J6	transferase activity|nucleotide binding|kinase activity|ATP binding
P77567	N-hydroxyarylamine O-acetyltransferase activity|transferase activity|acyltransferase activity
C5A021	hydrolase activity|metallopeptidase activity|peptidase activity|dipeptidase activity|metal ion binding
B1X9Z0	oxidoreductase activity|ketol-acid reductoisomerase activity
B1X953	isomerase activity|ADP-glyceromanno-heptose 6-epimerase activity
P30147	isomerase activity|hydroxypyruvate isomerase activity
C4ZW03	nucleotide binding|ATP binding
P10442	ribonuclease H activity|hydrolase activity|metal ion binding|nuclease activity|endonuclease activity
